"X"	"target_id"	"ens_gene"	"ext_gene"	"pval"	"qval"	"b"	"se_b"	"mean_obs"	"var_obs"	"tech_var"	"sigma_sq"	"smooth_sigma_sq"	"final_sigma_sq"
"226"	226	"ENST00000475698"	"ENSG00000163435"	"ELF3"	1.62698629076584e-68	3.69541859635363e-66	2.07053932521502	0.11836553685835	6.86130792834484	1.30295240955748	0.00715235591968911	0.0138632445539588	0.00396117617799426	0.0138632445539588
"229"	229	"ENST00000337190"	"ENSG00000123933"	"MXD4"	3.52295004541768e-68	7.89694636381575e-66	1.54383478601991	0.0884786127909237	6.0290440607699	0.724421911863232	0.00514162294414479	0.00660107443796451	0.00602821989831078	0.00660107443796451
"231"	231	"ENST00000380739"	"ENSG00000021355"	"SERPINB1"	8.3770606377951e-68	1.86152067817878e-65	0.964664929537532	0.0554432965165502	7.52363620043902	0.281344561827719	0.000968975613722108	0.00174481681605762	0.00364196307921105	0.00364196307921105
"235"	235	"ENST00000615999"	"ENSG00000103811"	"CTSH"	6.23319529830207e-67	1.36154204703167e-64	1.06618219962102	0.0616868839541544	7.29050007796708	0.345265222914111	0.00206744137894519	0.00323490621792052	0.00364046609901477	0.00364046609901477
"245"	245	"ENST00000463372"	"ENSG00000148120"	"AOPEP"	2.66006617767625e-65	5.5733272258154e-63	1.5276444396356	0.089514152550614	6.16488586882655	0.706611528394272	0.00650610451083141	0.0016217307509203	0.00551307074945048	0.00551307074945048
"249"	249	"ENST00000482587"	"ENSG00000169905"	"TOR1AIP2"	6.12682295026099e-65	1.26306054491083e-62	1.11457577891668	0.0654971562402583	6.70229251929915	0.377266189351288	0.00223793362136202	0.00349011546235118	0.00419688259197919	0.00419688259197919
"255"	255	"ENST00000398838"	"ENSG00000090238"	"YPEL3"	3.03007148199423e-63	6.09959330642069e-61	2.90638469241869	0.173131422336104	6.01297541476934	2.57009098137785	0.011191214002683	0.0337705200975008	0.00609764572978076	0.0337705200975008
"256"	256	"ENST00000295958"	"ENSG00000163683"	"SMIM14"	3.59544468518461e-63	7.2094283820272e-61	1.48392437118049	0.0884499216969232	7.04126433384958	0.669997528192857	0.00192610674145457	0.0098089762308332	0.00377368264662944	0.0098089762308332
"257"	257	"ENST00000606017"	"ENSG00000272398"	"CD24"	1.41782411807119e-62	2.83189679489613e-60	1.68219425207935	0.100758495488254	9.71699319674673	0.851096005795365	0.000111026048702211	0.00259241804720136	0.0151173855708826	0.0151173855708826
"258"	258	"ENST00000053867"	"ENSG00000030582"	"GRN"	1.47445126088061e-62	2.93358651641565e-60	1.04098470929471	0.0623606582412783	8.11539311343491	0.329761371531159	0.000476467181484538	0.00535681036294373	0.00423050138733672	0.00535681036294373
"264"	264	"ENST00000558190"	NA	NA	7.30300525963386e-62	1.41999191661941e-59	1.18302487498925	0.0712786221795088	6.35989358880728	0.42564532880792	0.00268094195473275	0.00454527348891678	0.004940021014981	0.004940021014981
"265"	265	"ENST00000262097"	NA	NA	7.43863398560188e-62	1.44090550848647e-59	1.18260947704855	0.071258337117487	7.22871738185712	0.425662853292015	0.00334490004101122	0.00427172587211291	0.00366034817497065	0.00427172587211291
"279"	279	"ENST00000341272"	NA	NA	4.09406942057293e-59	7.5325007704964e-57	1.12299348814649	0.0692658104179209	7.48755913756593	0.380908247416481	0.00356283078135756	-0.000345411918037646	0.00363379795791949	0.00363379795791949
"282"	282	"ENST00000421109"	"ENSG00000185551"	"NR2F2"	8.61455583439989e-59	1.56809354642346e-56	1.44428717088749	0.0893353150109173	8.0487013049609	0.635366587806778	0.000837546105184936	0.0111336516569648	0.004116584751907	0.0111336516569648
"285"	285	"ENST00000337352"	"ENSG00000127084"	"FGD3"	1.87276858702622e-58	3.37308621435894e-56	1.2567681110627	0.0779675706432605	6.74064982192617	0.481134555981648	0.00214078839977874	0.00697762470823898	0.00413363102421281	0.00697762470823898
"286"	286	"ENST00000353047"	"ENSG00000164733"	"CTSB"	2.41202300994696e-58	4.3291596205104e-56	1.35982416808573	0.0844429446337605	6.46579054657474	0.558151217303729	0.00601465360281442	-0.00174629501441833	0.00468126274481609	0.00468126274481609
"287"	287	"ENST00000566733"	"ENSG00000260604"	"AL590004.3"	2.44044566339614e-58	4.36491138653137e-56	1.97096589986892	0.122399394543532	5.34086030484898	1.182469973498	0.0101888060768659	0.0111336938783603	0.012283611600069	0.012283611600069
"288"	288	"ENST00000371253"	"ENSG00000153292"	"ADGRF1"	2.47870776758682e-58	4.41795233075578e-56	0.962365787418472	0.0597676654034812	7.51835448898527	0.280940401066394	0.00171767635308041	0.00215235918232125	0.00364058438859331	0.00364058438859331
"289"	289	"ENST00000254806"	"ENSG00000132471"	"WBP2"	3.72279734285171e-58	6.61240945340013e-56	0.936023531876831	0.0582227434017785	7.50855177331583	0.26595708976092	0.001446639310738	0.00244720330522	0.00363819246310601	0.00363819246310601
"291"	291	"ENST00000358406"	"ENSG00000197448"	"GSTK1"	1.07358589902109e-57	1.89379076867872e-55	0.897093319738053	0.0560303879710851	7.59307456952755	0.244323604431771	0.00104312226053874	0.00257022415968502	0.00366598430374673	0.00366598430374673
"292"	292	"ENST00000228872"	"ENSG00000111276"	"CDKN1B"	1.28822228658867e-57	2.26462419230032e-55	1.06501769632107	0.0665657201059242	7.26048891131254	0.345596002154975	0.00103264875188696	0.00561384388794339	0.00364905835662218	0.00561384388794339
"294"	294	"ENST00000299427"	"ENSG00000166340"	"TPP1"	1.48192188827986e-57	2.58741545473408e-55	0.919870015647151	0.0575250671097294	7.0891366582057	0.254411969317617	0.00122667740452093	-0.00052203289000873	0.00373702261444737	0.00373702261444737
"296"	296	"ENST00000368575"	"ENSG00000143545"	"RAB13"	1.63697997603083e-57	2.83883297735184e-55	1.12730799380437	0.070524771075662	7.4205391026536	0.387215485870898	0.000789973805706564	0.00667064119720524	0.00362637260375092	0.00667064119720524
"300"	300	"ENST00000311127"	"ENSG00000173706"	"HEG1"	4.14702737689272e-57	7.09584031035524e-55	1.33988016977486	0.0841287873502208	6.20141086984453	0.544220546799325	0.00522330674101706	0.00182280074966991	0.00539317255051095	0.00539317255051095
"301"	301	"ENST00000557457"	"ENSG00000185567"	"AHNAK2"	4.67094753877122e-57	7.96575013489051e-55	2.2599218278206	0.141962971651715	5.17107395309197	1.53610427067977	0.0146020760177269	-0.00968923811551438	0.0156281519625516	0.0156281519625516
"313"	313	"ENST00000573928"	"ENSG00000170296"	"GABARAP"	3.17507673747462e-56	5.20712584945838e-54	1.13038198603279	0.0715489688240901	6.42810200318599	0.383743015463033	0.00290852444378794	-0.0023910429952815	0.004770357965898	0.004770357965898
"314"	314	"ENST00000433108"	"ENSG00000230937"	"MIR205HG"	3.19594080462299e-56	5.22465074467857e-54	2.19214586887395	0.138758294099508	5.35507780530141	1.44961832985742	0.0168319459553295	-0.00687285004146532	0.0120488503167789	0.0120488503167789
"315"	315	"ENST00000427003"	"ENSG00000173821"	"RNF213"	3.64709961402165e-56	5.94326721863363e-54	0.991158396617788	0.0627713621671245	7.19221351919372	0.295931243238824	0.0022342466228464	-0.000718305269046965	0.00367611923962807	0.00367611923962807
"317"	317	"ENST00000374259"	"ENSG00000184481"	"FOXO4"	6.41998410301778e-56	1.03959187374167e-53	1.62110432583224	0.102899383962942	5.62265180876908	0.790198778420455	0.0072235498531483	-0.00496729003958473	0.00865887497678126	0.00865887497678126
"319"	319	"ENST00000561504"	"ENSG00000148671"	"ADIRF"	8.29895942747505e-56	1.33437970853838e-53	1.27843319329224	0.0812321069912612	7.55760461796745	0.498235815160906	0.00105332486024037	0.00884465794911919	0.00365234027938118	0.00884465794911919
"321"	321	"ENST00000371384"	"ENSG00000124098"	"FAM210B"	8.67834029412628e-56	1.38777745787567e-53	1.04737924560743	0.066562821508118	6.50134447664254	0.331317066520537	0.0020462575495807	0.000723844052642354	0.00459965626110167	0.00459965626110167
"322"	322	"ENST00000311852"	"ENSG00000157227"	"MMP14"	8.84236800767689e-56	1.40961625642879e-53	0.865217092199929	0.0549902335262359	8.034655640005	0.22768352994913	0.000441563497240152	0.00343761770108467	0.00409432517766478	0.00409432517766478
"324"	324	"ENST00000371348"	"ENSG00000116209"	"TMEM59"	1.04477472239999e-55	1.65525852006902e-53	1.35398236583061	0.0861122986938897	6.48222013066257	0.558878867677689	0.00550437259639884	0.00561861938311967	0.00464328361968165	0.00561861938311967
"327"	327	"ENST00000411926"	"ENSG00000185088"	"RPS27L"	2.38972223102541e-55	3.75135234137603e-53	1.32128378650035	0.08431419926508	6.01398109378828	0.528532198711311	0.00457008526183296	0.00142359645153703	0.00609324103473446	0.00609324103473446
"328"	328	"ENST00000333486"	"ENSG00000182179"	"UBA7"	2.78883182671977e-55	4.36452180881643e-53	1.01981045836583	0.0651172837440037	6.55961607040137	0.316330423686288	0.00188984685718975	0.00351816862855049	0.00447054410610589	0.00447054410610589
"330"	330	"ENST00000620103"	"ENSG00000185499"	"MUC1"	3.65877479156985e-55	5.69127962426859e-53	1.55263758321868	0.0992490244190883	6.01601650881489	0.731830254755183	0.00869120238613018	0.00209031674916692	0.00608435088608101	0.00608435088608101
